area,model,actual_lower,actual_upper,n,bias,mae
4556,CausalCNN,144.042,230.889,101,1.6655521209482236,15.892793687443174
4556,CausalCNN,230.889,269.967,101,-3.5124291564285848,17.586135016513982
4556,CausalCNN,269.967,363.677,101,4.1212195328187935,23.784626027190495
4556,CausalCNN,363.677,429.092,100,22.04022522590523,35.98030815515241
4556,CausalCNN,429.092,461.592,101,17.296996331682525,32.04538163161637
4556,CausalCNN,461.592,495.223,101,15.621891912410506,30.130026329937877
4556,CausalCNN,495.223,530.509,100,8.790374732220014,27.604122316975996
4556,CausalCNN,530.509,581.076,101,6.723643014282485,26.55962758002919
4556,CausalCNN,581.076,673.484,101,-0.9358155710677942,28.87932422357103
4556,CausalCNN,673.484,953.0,101,-23.59243065711945,38.579230802877085
